,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN
,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-05 00:00:00-04:00,187.32145354255775,189.0127957001277,186.65486637614924,188.73422241210938,45280000,0.0,0.0,135.2847410898484,136.26361340142148,134.42572633932184,135.61436462402344,19403100,0.0,0.0,326.5489125750725,332.3553354676578,326.211449248575,331.06500244140625,18553900,0.0,0.0,137.72999572753906,137.8000030517578,135.82000732421875,137.27000427246094,40636700,0.0,0.0
2023-09-06 00:00:00-04:00,187.44083042051423,187.8885515697604,180.54611904026743,181.97879028320312,81755800,0.0,0.0,135.8640716118609,136.3734814635149,133.51675954372712,134.3058624267578,18684500,0.0,0.0,330.8962688139472,331.96820930797134,327.7200972260983,330.3999938964844,17535800,0.0,0.0,136.32000732421875,137.4499969482422,134.61000061035156,135.36000061035156,41785500,0.0,0.0
2023-09-07 00:00:00-04:00,174.28813308808728,177.3027210091296,172.65648310613733,176.65602111816406,112488800,0.0,0.0,133.43685098164192,135.42457516551232,132.79758527667957,135.1049346923828,18844300,0.0,0.0,328.82187217644434,330.5985147280595,326.57869965960975,327.4521484375,18381000,0.0,0.0,133.89999389648438,138.02999877929688,133.16000366210938,137.85000610351562,48498900,0.0,0.0
2023-09-08 00:00:00-04:00,177.4420208090181,179.322398154407,176.88485903388653,177.2728729248047,65551300,0.0,0.0,134.75534727043336,136.5033411279822,134.69541849106776,136.22366333007812,23558300,0.0,0.0,327.6307814010701,333.6555663530754,327.0054701394981,331.7796325683594,19530100,0.0,0.0,136.86000061035156,138.85000610351562,136.75,138.22999572753906,38348200,0.0,0.0
2023-09-11 00:00:00-04:00,179.1532609267806,179.3820857333108,176.43714857784286,178.44686889648438,58953100,0.0,0.0,136.3834617664095,137.32238657475634,135.6343215777876,136.76303100585938,20763400,0.0,0.0,334.72753568209174,335.8987676444886,332.9310226945376,335.4223327636719,16583300,0.0,0.0,138.75,143.6199951171875,138.63999938964844,143.10000610351562,56764500,0.0,0.0
2023-09-12 00:00:00-04:00,178.57621253449193,179.21295365394195,173.92998956925265,175.40245056152344,90370200,0.0,0.0,136.10378847009338,136.71308978658323,135.03502302455672,135.18484497070312,18405500,0.0,0.0,333.3180933022371,334.2808678550751,329.01043064743953,329.2982482910156,17565500,0.0,0.0,142.32000732421875,143.0,140.61000061035156,141.22999572753906,42668500,0.0,0.0
2023-09-13 00:00:00-04:00,175.61136797028576,176.39735451835386,173.09424961765745,173.32308959960938,84267900,0.0,0.0,134.9351304795733,136.74305307456453,133.9962056478262,136.55328369140625,20749500,0.0,0.0,328.84169307680645,334.3404278056004,328.7027518467352,333.5563049316406,16544400,0.0,0.0,140.9499969482422,144.97999572753906,140.8699951171875,144.85000610351562,60465200,0.0,0.0
2023-09-14 00:00:00-04:00,173.11415933790715,175.203474229945,172.69629939572079,174.84530639648438,60895800,0.0,0.0,137.4422693383518,138.5409992165823,136.08382775479808,137.9416961669922,24751000,0.0,0.0,336.6232649865156,338.32051669539555,334.06249978171803,336.1766357421875,20267000,0.0,0.0,145.0800018310547,145.86000061035156,142.9499969482422,144.72000122070312,64033600,0.0,0.0
2023-09-15 00:00:00-04:00,175.58152061163142,175.6014230405891,172.93507444225742,174.11900329589844,109205100,0.0,0.0,137.82181432919253,138.36120380389121,136.32353394149047,137.2424774169922,38908400,0.0,0.0,334.4099230549225,334.88632761750563,327.1940659518699,327.75982666015625,37666900,0.0,0.0,142.69000244140625,143.57000732421875,140.08999633789062,140.38999938964844,102861700,0.0,0.0
2023-09-18 00:00:00-04:00,175.581529763006,178.46677486804185,175.2731104130604,177.06394958496094,67257600,0.0,0.0,136.45338763008775,139.00046729720438,136.45338763008775,138.0515594482422,21861300,0.0,0.0,325.35783693717775,327.9384726704456,323.9285626938361,326.60845947265625,16834200,0.0,0.0,140.47999572753906,141.75,139.22000122070312,139.97999572753906,42823500,0.0,0.0
2023-09-19 00:00:00-04:00,176.61624378037055,178.71550230451194,176.2282298911267,178.15835571289062,51826900,0.0,0.0,137.26246002932052,138.25133058124104,136.46337410020968,137.88174438476562,20353700,0.0,0.0,323.7400032851701,326.93601506692033,322.09236687194795,326.2015075683594,16505900,0.0,0.0,138.6999969482422,138.83999633789062,135.55999755859375,137.6300048828125,61482500,0.0,0.0
2023-09-20 00:00:00-04:00,178.34736859632218,178.78513095270657,174.50701953500308,174.59657287597656,58436200,0.0,0.0,137.9217061217591,137.9217061217591,133.46681238527364,133.58668518066406,29927500,0.0,0.0,327.0550938252787,327.1344844814706,318.1221456379955,318.38018798828125,21436500,0.0,0.0,138.5500030517578,139.3699951171875,135.1999969482422,135.2899932861328,46263700,0.0,0.0
2023-09-21 00:00:00-04:00,173.6613484591455,175.40243900334556,172.97485890131273,173.04449462890625,63047900,0.0,0.0,131.28931991078622,132.07840755034786,129.92089535299738,130.29046630859375,31488700,0.0,0.0,316.8814670316292,322.92609183504493,312.6531950814676,317.1494445800781,35529500,0.0,0.0,131.94000244140625,132.24000549316406,129.30999755859375,129.3300018310547,70234800,0.0,0.0
2023-09-22 00:00:00-04:00,173.7807317594859,176.1784657970126,173.16389311357293,173.90011596679688,56725400,0.0,0.0,130.61008732405898,131.87863562549973,129.45142876626406,130.10067749023438,26397300,0.0,0.0,318.92611112009774,319.0551474413878,313.7946152923814,314.6482238769531,21447900,0.0,0.0,131.11000061035156,132.02999877929688,128.52000427246094,129.1199951171875,59904300,0.0,0.0
2023-09-25 00:00:00-04:00,173.31314471379625,176.06904689371132,173.26339622758928,175.18357849121094,46172700,0.0,0.0,129.68117009635395,131.01963031796447,128.81217230552127,130.95970153808594,20094600,0.0,0.0,314.2313514209535,315.3033222148036,312.65320080410174,315.1742858886719,17836000,0.0,0.0,129.36000061035156,131.77999877929688,128.77000427246094,131.27000427246094,46017800,0.0,0.0
2023-09-26 00:00:00-04:00,173.92998914160827,174.3080442177515,170.78607323032008,171.0845489501953,64588900,0.0,0.0,129.62124402719195,130.21056403005105,127.07416414000936,128.42262268066406,25718700,0.0,0.0,312.7822284176501,313.5266407797813,307.7102831060834,309.81451416015625,26297600,0.0,0.0,130.1199951171875,130.38999938964844,125.27999877929688,125.9800033569336,73048200,0.0,0.0
2023-09-27 00:00:00-04:00,171.74118527392528,172.1590452286691,168.1893680680496,169.5623321533203,66921800,0.0,0.0,128.42262264949215,130.7499382697977,128.42262264949215,130.39035034179688,22746500,0.0,0.0,309.97331623944353,311.95841600476876,307.3827755849991,310.4596862792969,19410100,0.0,0.0,125.76000213623047,127.4800033569336,124.12999725341797,125.9800033569336,66553400,0.0,0.0
2023-09-28 00:00:00-04:00,168.4778812232559,171.15418877973661,166.76663658151597,169.82101440429688,56294400,0.0,0.0,129.6911554380616,133.14719580467656,129.64120970684775,132.1583251953125,22513100,0.0,0.0,308.67309369189115,313.129663484384,307.1445886054108,311.3033752441406,19683600,0.0,0.0,124.04000091552734,126.58000183105469,123.04000091552734,125.9800033569336,54555000,0.0,0.0
2023-09-29 00:00:00-04:00,171.14425277832726,172.18891027887835,169.47279774122418,170.33837890625,51814200,0.0,0.0,133.12721549992597,133.8963370909722,130.21056462164765,130.70999145507812,30848100,0.0,0.0,315.38268250429905,317.08986928288607,312.6333306061424,313.3975830078125,24140300,0.0,0.0,128.1999969482422,129.14999389648438,126.31999969482422,127.12000274658203,62377600,0.0,0.0
